task_id,role,dependencies,mean,stddev
1,аналитик,,27.6,6.1
2,аналитик,1,28.1,6.9
3,аналитик,2,30.8,2.5
4,аналитик,3,39.7,5.3
5,аналитик,3,38.9,4.1
6,аналитик,4,18.2,3.0
7,аналитик,5,37.0,6.1
8,аналитик,7,18.8,3.9
9,аналитик,5,21.5,2.4
10,аналитик,6,23.7,3.0
11,разработчик,9,50.2,8.2
12,аналитик,3,19.4,4.1
13,аналитик,11,25.8,3.6
14,аналитик,"13, 8",10.0,2.4
15,разработчик,"13, 8",44.0,3.7
16,аналитик,"12, 11",39.1,9.1
17,аналитик,15,18.2,1.3
18,разработчик,"12, 15",34.8,7.8
19,разработчик,"18, 14",32.5,5.5
20,тестировщик,17,9.6,0.6
21,разработчик,"20, 19",44.4,7.6
22,разработчик,"18, 20",52.1,7.6
23,разработчик,16,27.4,5.7
24,разработчик,22,36.1,4.5
25,разработчик,"16, 21",60.5,14.7
26,аналитик,25,24.0,2.4
27,разработчик,26,50.3,10.4
28,разработчик,"27, 23",79.7,17.0
29,разработчик,27,39.7,9.7
30,тестировщик,"24, 29",28.4,3.1
31,тестировщик,30,8.8,1.2
32,разработчик,31,76.6,10.7
33,разработчик,31,29.1,2.9
34,тестировщик,27,10.7,1.2
35,разработчик,34,60.2,7.9
36,тестировщик,31,19.7,1.9
37,тестировщик,"33, 36",14.2,1.9
38,разработчик,36,43.7,10.3
39,тестировщик,"35, 38, 32",24.3,5.9
40,разработчик,22,75.6,12.5
41,тестировщик,39,19.2,4.2
42,разработчик,39,27.5,4.2
43,разработчик,42,54.5,9.2
44,тестировщик,"43, 41, 40",16.8,3.4
45,тестировщик,40,19.5,3.5
46,тестировщик,44,10.7,0.8
47,тестировщик,45,39.5,7.2
48,тестировщик,"42, 45",13.9,1.2
49,тестировщик,"45, 46",8.7,2.1
50,тестировщик,44,39.1,3.1
