task_id,role,dependencies,mean,stddev
1,аналитик,,2.0,0.3
2,аналитик,,2.5,0.25
3,аналитик,,2.2,0.3
4,разработчик,1,4.0,0.4
5,разработчик,1,3.5,0.35
6,разработчик,2,4.2,0.4
7,разработчик,3,4.1,0.45
8,тестировщик,4,2.0,0.2
9,тестировщик,5,2.2,0.2
10,тестировщик,6,2.1,0.2
11,аналитик,7,1.8,0.25
12,разработчик,"8,9",3.0,0.35
13,разработчик,10,2.8,0.3
14,тестировщик,"11,12",2.2,0.2
15,тестировщик,13,2.3,0.25
16,аналитик,,2.0,0.2
17,разработчик,16,3.0,0.3
18,разработчик,16,3.1,0.3
19,тестировщик,"17,18",2.0,0.2
20,аналитик,"14,15",2.5,0.3
21,разработчик,20,3.2,0.35
22,тестировщик,21,2.2,0.2
23,аналитик,20,2.0,0.3
24,разработчик,"19,23",3.5,0.35
25,тестировщик,"22,24",2.1,0.2
26,аналитик,,1.9,0.25
27,разработчик,26,2.8,0.3
28,тестировщик,27,2.0,0.2
29,разработчик,25,3.4,0.4
30,тестировщик,"28,29",2.0,0.2
