task_id,role,dependencies,mean,stddev
1,аналитик,,2.0,0.5
2,аналитик,1,6.0,1.5
3,аналитик,2,8.0,2.0
4,аналитик,2,4.0,1.0
5,разработчик,2,5.0,1.25
6,аналитик,"3,4,5",3.5,0.8
7,разработчик,6,10.0,2.5
8,разработчик,7,12.0,3.0
9,аналитик,7,8.0,2.0
10,разработчик,7,6.0,1.5
11,разработчик,"8,9,10",5.0,1.25
12,разработчик,11,6.0,1.5
13,разработчик,12,7.0,1.75
14,аналитик,13,8.0,2.0
15,тестировщик,13,10.0,2.5
16,разработчик,13,12.0,3.0
17,разработчик,13,8.0,2.0
18,разработчик,"14,15,16,17",4.0,1.0
19,тестировщик,"9,10",6.0,1.5
20,разработчик,10,10.0,2.5
21,разработчик,8,8.0,2.0
22,разработчик,"16,21",10.0,2.5
23,разработчик,18,6.0,1.5
24,разработчик,18,10.0,2.5
25,разработчик,"18,19",8.0,2.0
26,разработчик,"18,20",12.0,3.0
27,разработчик,18,10.0,2.5
28,тестировщик,"25,26,27",6.0,1.5
29,тестировщик,"22,23,24",7.0,1.75
30,разработчик,"28,29",10.0,2.5
31,разработчик,29,8.0,2.0
32,тестировщик,"30,31",8.0,2.0
33,тестировщик,32,7.0,1.75
34,аналитик,32,10.0,2.5
35,тестировщик,"33,34",5.0,1.25
36,аналитик,35,6.0,1.5
37,разработчик,34,7.0,1.75
38,разработчик,"36,37",6.0,1.5
39,разработчик,38,5.0,1.25
40,аналитик,39,3.0,0.8
41,аналитик,40,10.0,2.5
42,разработчик,40,14.0,3.5
43,тестировщик,40,5.0,1.25
44,разработчик,"41,42,43",7.0,1.75
45,аналитик,44,4.0,1.0
