task_id,role,dependencies,mean,stddev
1,аналитик,,18.8,4.5
2,аналитик,1,36.6,2.5
3,аналитик,2,22.8,4.1
4,аналитик,3,24.9,1.9
5,аналитик,3,19.5,4.5
6,аналитик,4,10.8,1.7
7,разработчик,6,43.5,9.6
8,аналитик,6,17.9,2.3
9,аналитик,4,11.6,0.8
10,аналитик,5,27.0,2.0
11,аналитик,9,9.4,0.6
12,аналитик,10,13.4,1.2
13,аналитик,"10, 7",14.2,2.4
14,аналитик,"12, 8, 7",11.9,1.5
15,аналитик,"9, 14",26.1,2.5
16,разработчик,2,34.8,6.9
17,аналитик,"15, 11",18.9,4.2
18,разработчик,17,75.5,4.6
19,разработчик,"16, 15",21.6,5.3
20,разработчик,"15, 13",26.0,1.8
21,разработчик,19,65.5,4.6
22,разработчик,"17, 20, 21",51.3,2.7
23,разработчик,16,59.9,6.5
24,тестировщик,21,31.7,2.4
25,разработчик,22,73.0,14.7
26,разработчик,25,42.4,8.1
27,разработчик,25,61.1,12.2
28,разработчик,14,32.8,5.7
29,разработчик,"26, 28",24.8,5.4
30,разработчик,16,48.3,7.1
31,разработчик,"22, 24",33.6,2.8
32,разработчик,29,47.4,6.1
33,разработчик,"27, 29, 30",26.5,3.3
34,тестировщик,33,19.0,4.3
35,разработчик,29,46.5,2.9
36,тестировщик,"30, 32",25.3,2.7
37,тестировщик,33,30.8,2.3
38,разработчик,"36, 35",54.9,6.5
39,тестировщик,33,23.3,4.8
40,разработчик,38,57.8,7.5
41,тестировщик,"35, 34",36.5,7.1
42,разработчик,31,32.7,7.6
43,разработчик,34,70.6,5.1
44,тестировщик,41,35.3,6.5
45,тестировщик,"39, 44",38.9,3.8
46,тестировщик,"39, 43, 40",15.8,2.0
47,тестировщик,"42, 45",8.7,1.6
48,тестировщик,"43, 47",30.8,4.3
49,тестировщик,46,30.4,2.4
50,тестировщик,49,18.8,2.2
